,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,"Hey, hey, hey Your lipstick stains On the front lobe of my left-side brains I knew I wouldn't forget you And so I went and let you Blow my mind Your sweet moonbeam The smell of you in every single dream I dream I knew when we collided You're the one I have decided Who's one of my kind Hey, soul sister Ain't that Mr. Mister On the radio, stereo? The way you move ain't fair, you know Hey, soul sister I don't wanna miss A single thing you do tonight Hey, hey, hey Just in time I'm so glad you have a one-track mind Like me You gave my life direction A game-show love connection We can't deny I'm so obsessed My heart is bound to beat right out of my untrimmed chest I believe in you, like a virgin, you're Madonna And I'm always gonna wanna Blow your mind Hey, soul sister Ain't that Mr. Mister On the radio, stereo? The way you move ain't fair you know Hey, soul sister I don't wanna miss A single thing you do tonight Way you can cut a rug Watching you's the only drug I need So gangster, I'm so thug You're the only one I'm dreaming of You see I can be myself now finally In fact there's nothing I can't be I want the world to see you'll be With me Hey, soul sister Ain't that Mr. Mister On the radio, stereo? The way you move ain't fair you know Hey, soul sister I don't wanna miss A single thing you do tonight Hey, soul sister I don't wanna miss A single thing you do tonight Hey, hey, hey, tonight Hey, hey, hey, tonight"
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,"Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie I can't tell you what it really is I can only tell you what it feels like And right now, there's a steel knife in my windpipe I can't breathe but I still fight while I can fight As long as the wrong feels right it's like I'm in flight High off her love, drunk from her hate It's like I'm huffing paint and I love her the more I suffer, I suffocate And right before I'm about to drown, she resuscitates me She fucking hates me and I love it ""Wait! Where you going?"" ""I'm leaving you!"" ""No you ain't. Come back"" We're running right back Here we go again It's so insane 'cause when it's going good, it's going great I'm Superman with the wind at his back, she's Lois Lane But when it's bad it's awful, I feel so ashamed I snap ""Who's that dude?"" ""I don't even know his name"" I laid hands on her, I'll never stoop so low again I guess I don't know my own strength Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie I love the way you lie You ever love somebody so much you can barely breathe when you're with 'em You meet and neither one of you even know what hit 'em Got that warm fuzzy feeling Yeah, them chills used to get 'em Now you're getting fucking sick of looking at 'em You swore you'd never hit 'em; never do nothing to hurt 'em Now you're in each other's face spewing venom in your words when you spit them You push, pull each other's hair, scratch, claw, bit 'em Throw 'em down, pin 'em So lost in the moments when you're in them It's the rage that took over It controls you both So they say it's best to go your separate ways Guess that they don't know you 'cause today that was yesterday Yesterday is over, it's a different day Sound like broken records playing over but you promised her Next time you'd show restraint You don't get another chance Life is no Nintendo game But you lied again Now you get to watch her leave out the window Guess that's why they call it window pane Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie I love the way you lie Now I know we said things, did things that we didn't mean And we fall back into the same patterns, same routines But your temper's just as bad as mine is You're the same as me When it comes to love you're just as blinded Baby, please come back It wasn't you, baby it was me Maybe our relationship isn't as crazy as it seems Maybe that's what happens when a tornado meets a volcano All I know is I love you too much to walk away though Come inside, pick up your bags off the sidewalk Don't you hear sincerity in my voice when I talk Told you this is my fault Look me in the eyeball Next time I'm pissed, I'll aim my fist at the drywall Next time? There won't be no next time! I apologize even though I know it's lies I'm tired of the games I just want her back I know I'm a liar If she ever tries to fucking leave again I'mma tie her to the bed and set this house on fire I'm just gonna Just gonna stand there and watch me burn Well, that's alright because I like the way it hurts Just gonna stand there and hear me cry Well, that's alright because I love the way you lie I love the way you lie I love the way you lie"
3,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,"Wake up in the mornin' feelin' like P-Diddy (hey what's up girl) Grab my glasses I'm out the door I'm gonna hit the city (let's go) Before I leave brush my teeth with a bottle of Jack 'Cause when I leave for the night I ain't comin' back I'm talkin' pedicure on our toes toes Tryin' on all our clothes clothes Boys blowin' up our phones phones Drop top and playin' our favorite CD's Pullin' up to the parties Tryna get a little bit tipsy Don't stop, make it pop DJ, blow my speakers up Tonight, Imma fight 'Til we see the sunlight TiK ToK, on the clock But the party don't stop no Whoa-oh oh oh Whoa-oh oh oh Don't stop, make it pop DJ, blow my speakers up Tonight, Imma fight 'Til we see the sunlight TiK ToK, on the clock But the party don't stop no Whoa-oh oh oh Whoa-oh oh oh Ain't got a care in world, but got plenty of beer Ain't got no money in my pocket, but I'm already here Now, the dudes are linin' up cause they hear we got swagger But we kick em to the curb unless they look like Mick Jagger I'm talkin' bout - everybody getting crunk, crunk Boys tryna touch my junk, junk Gonna smack him if he getting too drunk, drunk Now, now - we goin' 'til they kick us out, out Or the police shut us down, down Police shut us down, down Po-po shut us - (down)-man Don't stop, make it pop DJ, blow my speakers up Tonight, Imma fight 'Til we see the sunlight TiK ToK, on the clock But the party don't stop no Whoa-oh oh oh Whoa-oh oh oh Don't stop, make it pop DJ, blow my speakers up Tonight, Imma fight 'Til we see the sunlight TiK ToK, on the clock But the party don't stop no Whoa-oh oh oh Whoa-oh oh oh DJ, you build me up You break me down My heart, it pounds Yeah, you got me With my hands up You got me now You got that sound Yeah, you got me You build me up You break me down My heart, it pounds Yeah, you got me With my hands up Put your hands up Put your hands up Now The party don't start 'til I walk in Don't stop, make it pop DJ, blow my speakers up Tonight, Imma fight 'Til we see the sunlight TiK ToK, on the clock But the party don't stop no Whoa-oh oh oh Whoa-oh oh oh Don't stop, make it pop DJ, blow my speakers up Tonight, Imma fight 'Til we see the sunlight TiK ToK, on the clock But the party don't stop no Whoa-oh oh oh Whoa-oh oh oh"
4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh! Caught in a bad romance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh! Caught in a bad romance Rah-rah-ah-ah-ah-ah! Roma-roma-mamaa! Ga-ga-ooh-la-la! Want your bad romance Rah-rah-ah-ah-ah-ah! Roma-roma-mamaa! Ga-ga-ooh-la-la! Want your bad romance I want your ugly I want your disease I want your everything As long as it's free I want your love (Love-love-love I want your love) I want your drama The touch of your hand I want your leather-studded kiss in the sand I want your love Love-love-love I want your love (Love-love-love I want your love) You know that I want you And you know that I need you I want it bad, your bad romance I want your love and I want your revenge You and me could write a bad romance (Oh-oh-oh--oh-oh!) I want your love and All your lover's revenge You and me could write a bad romance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh! Caught in a bad romance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh! Caught in a bad romance Rah-rah-ah-ah-ah-ah! Roma-roma-mamaa! Ga-ga-ooh-la-la! Want your bad romance I want your horror I want your design ‘Cause you're a criminal As long as you're mine I want your love (Love-love-love I want your love-uuhh) I want your psycho Your vertigo shtick Want you in my rear window Baby you're sick I want your love Love-love-love I want your love (Love-love-love I want your love) You know that I want you ('Cause I'm a free bitch baby!) And you know that I need you I want it bad, bad romance I want your love and I want your revenge You and me could write a bad romance (Oh-oh-oh-oh-oh!) I want your love and All your lover's revenge You and me could write a bad romance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh! Caught in a bad romance Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh! Caught in a bad romance Rah-rah-ah-ah-ah-ah! Roma-roma-mamaa! Ga-ga-ooh-la-la! Want your bad romance Rah-rah-ah-ah-ah-ah! Roma-roma-mamaa! Ga-ga-ooh-la-la! Want your bad romance Walk, walk fashion baby Work it Move that bitch crazy Walk, walk fashion baby Work it Move that bitch crazy Walk, walk fashion baby Work it Move that bitch crazy Walk, walk passion baby Work it I'm a free bitch, baby I want your love and I want your revenge I want your love I don't wanna be friends Je veux ton amour Et je veux ta revanche Je veux ton amour I don't wanna be friends Oh-oh-oh-oh-oooh! I don't wanna be friends (Caught in a bad romance) I don't wanna be friends Oh-oh-oh-oh-oooh! Want your bad romance (Caught in a bad romance) Want your bad romance! I want your love and I want your revenge You and me could write a bad romance Oh-oh-oh-oh-oooh! I want your love and All your lover's revenge You and me could write a bad romance Oh-oh-oh-oh-oooh-oh-oh-oooh-oh-oh-oh-oh! Want your bad romance (Caught in a bad romance) Want your bad romance Oh-oh-oh-oh-oooh-oh-oh-oooh-oh-oh-oh-oh! Want your bad romance (Caught in a bad romance) Rah-rah-ah-ah-ah-ah! Roma-roma-mamaa! Ga-ga-ooh-la-la! Want your bad romance"
5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,"Ohhhhh ohhhhhh ohhhhhh ohhhhhhh Oh, her eyes, her eyes Make the stars look like they're not shinin' Her hair, her hair Falls perfectly without her trying She's so beautiful And I tell her everyday Yeah I know, I know When I compliment her she won't believe me And it's so, it's so Sad to think that she don't see what I see But every time she asks me, ""Do I look okay?"" I say When I see your face (face, face...) There's not a thing that I would change 'Cause you're amazing (amazing) Just the way you are (are) And when you smile (smile, smile...) The whole world stops and stares for a while 'Cause, girl, you're amazing (amazing) Just the way you are (are) Yeah Her lips, her lips I could kiss them all day if she'd let me Her laugh, her laugh She hates but I think it's so sexy She's so beautiful And I tell her everyday Oh you know, you know, you know I'd never ask you to change If perfect's what you're searching for Then just stay the same So don't even bother asking if you look okay You know I'll say, When I see your face (face, face...) There's not a thing that I would change 'Cause you're amazing (amazing) Just the way you are (are) And when you smile (smile, smile...) The whole world stops and stares for a while 'Cause, girl, you're amazing (amazing) Just the way you are (are) The way you are The way you are Girl, you're amazing (amazing) Just the way you are (are) When I see your face There's not a thing that I would change 'Cause you're amazing (amazing) Just the way you are (are) And when you smile The whole world stops and stares for a while 'Cause, girl, you're amazing Just the way you are Yeah"
6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,"Ohhh ah Ohhh ah Ohhhh aaahhh You know you love me, I know you care Just shout whenever, and I'll be there You are my love, you are my heart And we will never ever ever be apart Are we an item? Girl, quit playing We're just friends, what are you saying? Said there's another and looked right in my eyes My first love broke my heart for the first time And I was like... Baby, baby, baby oooh Like baby, baby, baby nooo Like baby, baby, baby oooh I thought you'd always be mine (mine) Baby, baby, baby oooh Like baby, baby, baby nooo Like baby, baby, baby oooh I thought you'd always be mine (mine) Oh, for you I would have done whatever And I just can't believe we ain't together And I wanna play it cool, but I'm losin' you I'll buy you anything, I'll buy you any ring And I'm in pieces, baby fix me And just shake me 'til you wake me from this bad dream I'm going down, down, down, down And I just can't believe my first love won't be around And I'm like Baby, baby, baby oooh Like baby, baby, baby nooo Like baby, baby, baby oooh I thought you'd always be mine (mine) Baby, baby, baby oooh Like baby, baby, baby nooo Like baby, baby, baby oooh I thought you'd always be mine (mine) Luda! When I was 13, I had my first love There was nobody that compared to my baby And nobody came between us or could ever come above She had me going crazy, oh, I was star-struck She woke me up daily, don't need no Starbucks She made my heart pound, and skip a beat when I see her in the street and At school on the playground but I really wanna see her on the weekend She knows she got me dazing cause she was so amazing And now my heart is breaking but I just keep on saying... Baby, baby, baby oooh Like baby, baby, baby nooo Like baby, baby, baby oooh I thought you'd always be mine (mine) Baby, baby, baby oooh Like baby, baby, baby nooo Like baby, baby, baby oooh I thought you'd always be mine (mine) I'm gone (Yeah Yeah Yeah, Yeah Yeah Yeah) Now I'm all gone (Yeah Yeah Yeah, Yeah Yeah Yeah) Now I'm all gone (Yeah Yeah Yeah, Yeah Yeah Yeah) Now I'm all gone (gone, gone, gone...) I'm gone"
7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,"I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go! I came to dance, dance, dance, dance I hit the floor 'cause that's my plans, plans, plans, plans I'm wearing all my favorite brands, brands, brands, brands Give me some space for both my hands, hands, hands, hands Yeah, yeah 'Cause it goes on and on and on... And it goes on and on and on... Yeah! I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go! 'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite! 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite! I came to move, move, move, move Get out the way of me and my crew, crew, crew, crew I'm in the club so I'm gonna do, do, do, do Just what the fuck, came here to do, do, do, do Yeah, yeah 'Cause it goes on and on and on... And it goes on and on and on... Yeah! I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go! 'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite! 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite! I'm gonna take it all I, I'm gonna be the last one standing Higher over all I, I'm gonna be the last one landing 'Cause I, I, I believe it And I, I, I, I just want it all... I just want it all... I'm gonna put my hands in the air! Hands, hands in the air! Put your hands in the air! I throw my hands up in the air sometimes Saying AYO! Gotta let go! I wanna celebrate and live my life Saying AYO! Baby, let's go! 'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite! 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite!"
8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,"I need another story Something to get off my chest My life gets kinda boring Need something that I can confess Til' all my sleeves are stained red From all the truth that I've said Come by it honestly I swear Thought you saw me wink, no I've been on the brink, so Tell me what you want to hear Something that will light those ears Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away My God, amazing how we got this far It's like we're chasing all those stars Who's driving shiny big black cars And everyday I see the news All the problems that we could solve And when a situation rises Just write it into an album Send it straight to gold I don't really like my flow, no, so Tell me what you want to hear Something that are like those years Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics never jump in line I'm gonna give all my secrets away Oh, got no reason, got no shame Got no family I can't blame Just don't let me disappear I'mma tell you everything So tell me what you want to hear Something that'll light those ears Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics never jump in line I'm gonna give all my secrets away So tell me what you want to hear Something that delight those ears Sick of all the insincere I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away All my secrets away, all my secrets away"
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,"Yeah Now I put my lil' thing on, uh Yeah Uh Oh-oh, come on Oh-oh, come on Yeah Ooh, New York Ooh, New York Grew up in a town that is famous as a place of movie scenes Noise is always loud, there are sirens all around and the streets are mean If I can make it here, I can make it anywhere, that's what they say Seeing my face in lights or my name in marquees found down on Broadway Even if it ain't all it seems, I got a pocketful of dreams Baby I'm from New York Concrete jungle where dreams are made of There's nothing we can't do Now you're in New York! These streets will make you feel brand new Big lights will inspire you Hear it for New York, New York, New York On the avenue, there ain't never a curfew, ladies work so hard Such a melting pot, on the corner selling rock, preachers pray to God Hail a gypsy cab, takes me down from Harlem to the Brooklyn Bridge Someone sleeps tonight with a hunger far more than an empty fridge I'ma make it by any means, I got a pocketful of dreams Baby I'm from New York Concrete jungle where dreams are made of There's nothing you can't do Now you're in New York These streets will make you feel brand new Big lights will inspire you Hear it for New York, New York, New York One hand in the air for the big city Street lights, big dreams, all looking pretty No place in the world that can compare Put your lighters in the air, everybody say Yeah-yeah, yeah-yeah In New York Concrete jungle where dreams are made of There's nothing you can't do Now you're in New York These streets will make you feel brand new Big lights will inspire you Hear it for New York, New York, New York New York City Yeah Thank you"
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,"La la la la La la la la La la la la (Uh, yeah) La la la la I want you to love me, like I'm a hot ride Keep thinkin' of me, doin' what you like So boy forget about the world cause it's gon' be me and you tonight I wanna make you beg for it, then I'm a make you swallow your pride Ooh Want you to make me feel like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only girl in the world... Like I'm the only one that's in command Cause I'm the only one who understands how to make you feel like a man (yeah) Want you to make me feel like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only one... Want you to take it, like a thief in the night Hold me like a pillow, make me feel right Baby I'll tell you all my secrets that I'm keepin', you can come inside And when you enter, you ain't leavin', be my prisoner for the night Want you to make me feel like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only girl in the world... Like I'm the only one that's in command Cause I'm the only one who understands, like I'm the only one who knows your heart Only one... Take me for a ride, ride Oh baby, take me high, high Let me make you rise, rise Oh make it last all night, night Take me for a ride, ride Oh baby, take me high, high Let me make you rise, rise Make it last all night Want you to make me feel like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only girl in the world... Like I'm the only one that's in command Cause I'm the only one who understands how to make you feel like a man Only girl in the world... Girl in the world... Only girl in the world... Girl in the world"
